date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:42	173565/173565	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2012:31:38%20GMT	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/index.html	(from )
18:02:42	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2028%20Jun%202022%2012:32:33%20GMT	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/robots.txt		(from )
18:02:43	39737/39737	---M-Z	200	added ('OK')	text/css	etag:W/%2262b02900-9b39%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.8.2	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/themes/astra/assets/css/minified/main.min3fd0.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:45	936/936	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2253710180bfb29641204d32ac5d04d13a%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/feed/	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/feed/index.html	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:45	830/830	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2253710180bfb29641204d32ac5d04d13a%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/comments/feed/	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/comments/feed/index.html	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:46	88870/88870	---M-Z	200	added ('OK')	text/css	etag:W/%2262a9d9e7-15b26%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-includes/css/dist/block-library/style.minf049.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:48	22511/22511	---M-Z	200	added ('OK')	text/css	etag:W/%2262b02a28-57ef%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.7.4.2	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.mine945.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:49	19128/19128	---M-Z	200	added ('OK')	text/css	etag:W/%2262b02a1d-4ab8%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:51	107922/107922	---M-Z	200	added ('OK')	text/css	etag:W/%2262b02a1c-1a592%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.6	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/plugins/elementor/assets/css/frontend-lite.min1ed5.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
18:02:52	1119/1119	---M-Z	200	added ('OK')	text/css	etag:W/%2262b02aa2-45f%22	https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/uploads/elementor/css/post-465.css?ver=1655712418	C:/Users/Partha/Desktop/school/Aditya%20Academy/aditya-academy-secondary-b34262.ingress-bonde.ewp.live/wp-content/uploads/elementor/css/post-465d025.css	(from https://aditya-academy-secondary-b34262.ingress-bonde.ewp.live/)
